match_id,stage,group,datetime,status,home,away,home_score,away_score,home_red_cards,away_red_cards,venue
1,Group stage,A,11/06/2026 20:00,ongoing,Mexico,South Africa,1,0,,,"Estadio Azteca, Mexico City"
2,Group stage,A,12/06/2026 03:00,scheduled,South Korea,Czechia,,,,,"Estadio Akron, Guadalajara"
3,Group stage,B,12/06/2026 20:00,scheduled,Canada,Bosnia and Herzegovina,,,,,"BMO Field, Toronto"
4,Group stage,D,13/06/2026 02:00,scheduled,United States,Paraguay,,,,,"SoFi Stadium, Inglewood"
5,Group stage,B,13/06/2026 20:00,scheduled,Qatar,Switzerland,,,,,"Levi's Stadium, Santa Clara"
6,Group stage,C,13/06/2026 23:00,scheduled,Brazil,Morocco,,,,,"MetLife Stadium, East Rutherford"
7,Group stage,C,14/06/2026 02:00,scheduled,Haiti,Scotland,,,,,"Gillette Stadium, Foxborough"
8,Group stage,D,14/06/2026 05:00,scheduled,Australia,Turkiye,,,,,"BC Place, Vancouver"
9,Group stage,E,14/06/2026 18:00,scheduled,Germany,Curacao,,,,,"NRG Stadium, Houston"
10,Group stage,F,14/06/2026 21:00,scheduled,Netherlands,Japan,,,,,"AT&T Stadium, Arlington"
11,Group stage,E,15/06/2026 00:00,scheduled,Ivory Coast,Ecuador,,,,,"Lincoln Financial Field, Philadelphia"
12,Group stage,F,15/06/2026 03:00,scheduled,Sweden,Tunisia,,,,,"Estadio BBVA, Monterrey"
13,Group stage,H,15/06/2026 17:00,scheduled,Spain,Cape Verde,,,,,"Mercedes-Benz Stadium, Atlanta"
14,Group stage,G,15/06/2026 20:00,scheduled,Belgium,Egypt,,,,,"Lumen Field, Seattle"
15,Group stage,H,15/06/2026 23:00,scheduled,Saudi Arabia,Uruguay,,,,,"Hard Rock Stadium, Miami"
16,Group stage,G,16/06/2026 02:00,scheduled,Iran,New Zealand,,,,,"SoFi Stadium, Inglewood"
17,Group stage,I,16/06/2026 20:00,scheduled,France,Senegal,,,,,"MetLife Stadium, East Rutherford"
18,Group stage,I,16/06/2026 23:00,scheduled,Iraq,Norway,,,,,"Gillette Stadium, Foxborough"
19,Group stage,J,17/06/2026 02:00,scheduled,Argentina,Algeria,,,,,"Arrowhead Stadium, Kansas City"
20,Group stage,J,17/06/2026 05:00,scheduled,Austria,Jordan,,,,,"Levi's Stadium, Santa Clara"
21,Group stage,K,17/06/2026 18:00,scheduled,Portugal,DR Congo,,,,,"NRG Stadium, Houston"
22,Group stage,L,17/06/2026 21:00,scheduled,England,Croatia,,,,,"AT&T Stadium, Arlington"
23,Group stage,L,18/06/2026 00:00,scheduled,Ghana,Panama,,,,,"BMO Field, Toronto"
24,Group stage,K,18/06/2026 03:00,scheduled,Uzbekistan,Colombia,,,,,"Estadio Azteca, Mexico City"
25,Group stage,A,18/06/2026 17:00,scheduled,Czechia,South Africa,,,,,"Mercedes-Benz Stadium, Atlanta"
26,Group stage,B,18/06/2026 20:00,scheduled,Bosnia and Herzegovina,Switzerland,,,,,"SoFi Stadium, Inglewood"
27,Group stage,B,18/06/2026 23:00,scheduled,Canada,Qatar,,,,,"BC Place, Vancouver"
28,Group stage,A,19/06/2026 02:00,scheduled,Mexico,South Korea,,,,,"Estadio Akron, Guadalajara"
29,Group stage,D,19/06/2026 20:00,scheduled,United States,Australia,,,,,"Lumen Field, Seattle"
