country,probability
Morocco,2
Czechia,0
Canada,0
Saudi Arabia,0
Uruguay,3
Tunisia,0
Belgium,4
Jordan,0
Ecuador,0
Scotland,0
Egypt,0
Netherlands,5
Australia,0
Croatia,2.5
United States,1.2
Uzbekistan,0
Paraguay,0
South Africa,0
Germany,7
Ghana,0.4
France,12
Curacao,0
Mexico,1.2
Bosnia and Herzegovina,0
Portugal,6
Iraq,0
Argentina,13
Norway,0
South Korea,0
Austria,0
Colombia,2
Haiti,0
Japan,1.5
Sweden,0
Switzerland,0
Iran,0
England,9
Cape Verde,0
Senegal,0.8
Algeria,0
New Zealand,0
Spain,8
Brazil,11
Qatar,0
Panama,0
Turkiye,0
Ivory Coast,0
DR Congo,0
