match_id,stage,group,datetime,status,home,away,home_score,away_score,home_red_cards,away_red_cards,venue
1,Group stage,A,2026-06-11 20:00,finished,Mexico,South Africa,2,0,1,2,"Estadio Azteca, Mexico City"
2,Group stage,A,2026-06-12 03:00,finished,South Korea,Czechia,2,1,0,0,"Estadio Akron, Guadalajara"
3,Group stage,B,2026-06-12 20:00,finished,Canada,Bosnia and Herzegovina,1,1,0,0,"BMO Field, Toronto"
4,Group stage,D,2026-06-13 02:00,finished,United States,Paraguay,4,1,0,0,"SoFi Stadium, Inglewood"
5,Group stage,B,2026-06-13 20:00,finished,Qatar,Switzerland,1,1,0,0,"Levi's Stadium, Santa Clara"
6,Group stage,C,2026-06-13 23:00,finished,Brazil,Morocco,1,1,0,0,"MetLife Stadium, East Rutherford"
7,Group stage,C,2026-06-14 02:00,finished,Haiti,Scotland,0,1,0,0,"Gillette Stadium, Foxborough"
8,Group stage,D,2026-06-14 05:00,finished,Australia,Turkiye,2,0,0,0,"BC Place, Vancouver"
9,Group stage,E,2026-06-14 18:00,finished,Germany,Curacao,7,1,0,0,"NRG Stadium, Houston"
10,Group stage,F,2026-06-14 21:00,finished,Netherlands,Japan,2,2,0,0,"AT&T Stadium, Arlington"
11,Group stage,E,2026-06-15 00:00,finished,Ivory Coast,Ecuador,1,0,0,0,"Lincoln Financial Field, Philadelphia"
12,Group stage,F,2026-06-15 03:00,finished,Sweden,Tunisia,5,1,0,0,"Estadio BBVA, Monterrey"
13,Group stage,H,2026-06-15 17:00,scheduled,Spain,Cape Verde,,,,,"Mercedes-Benz Stadium, Atlanta"
14,Group stage,G,2026-06-15 20:00,scheduled,Belgium,Egypt,,,,,"Lumen Field, Seattle"
15,Group stage,H,2026-06-15 23:00,scheduled,Saudi Arabia,Uruguay,,,,,"Hard Rock Stadium, Miami"
16,Group stage,G,2026-06-16 02:00,scheduled,Iran,New Zealand,,,,,"SoFi Stadium, Inglewood"
17,Group stage,I,2026-06-16 20:00,scheduled,France,Senegal,,,,,"MetLife Stadium, East Rutherford"
